titulo,predicao_finbert,confianca,rotulo_manual
Durigan: governo fez esforço para harmonizar necessidades do agro e contas públicas,positivo,0.613,positivo
Dona do Ozempic abre loja no Mercado Livre do México e afeta farmacêuticas da B3,negativo,0.776,negativo
"Na Cúpula do Mercosul, Lula diz que país vive melhor momento econômico",neutro,0.566,positivo
Lula: Pix pode servir de base para estrutura de pagamentos que beneficie o Mercosul,neutro,0.701,positivo
Amil será vendida? O que pode em meio a rumores sobre mudanças na companhia,positivo,0.470,negativo
Ibovespa Hoje Ao Vivo: Bolsa cai e tenta segurar os 172 mil pontos,negativo,0.665,negativo
Pré-venda da Bath&Body Works no Brasil está disponível; veja preços,positivo,0.530,neutro
EUA: Suprema Corte derruba limite de gastos de campanhas; vitória para republicanos,negativo,0.834,negativo
"Corretora comete gafe em e-mail, fica sem ações da SpaceX e pede desculpas",negativo,0.837,negativo
"Governo apresentará proposta de renegociação de dívidas rurais em breve, diz Durigan",negativo,0.566,positivo
CNPJ passará a ter letras a partir de  julho. Entenda o motivo,neutro,0.662,positivo
Omã leva adiante plano para cobrar pedágio por passagem no Estreito de Ormuz,negativo,0.735,neutro
Ex-presidentes e ex-diretores do BC divulgam carta em apoio à PEC da autonomia,neutro,0.625,positivo
"Alemanha volta à estaca zero, mais uma vez, após 3º fracasso consecutivo na Copa",negativo,0.855,neutro
Petrobras cria mecanismo e limita alta do gás a até 6% a partir de agosto,negativo,0.802,positivo
Tesouro Direto paga juros históricos: veja como aproveitar com guia gratuito,neutro,0.678,positivo
"Acho muito justas críticas de Erika Hilton ao PSOL pelo fundo eleitoral, diz Boulos",negativo,0.782,neutro
"Gramado, calor e acesso colocam estádio da final da Copa sob pressão",negativo,0.851,neutro
“Sal é o novo petróleo”: como as baterias de sódio podem redefinir futuro da energia,neutro,0.600,positivo
"Principal questão do mercado não é mais identificar se há bolha em IA, aponta XP",neutro,0.593,negativo
"A gente não vende ilusão mas tem oportunidade, diz trader sobre operação automatizada",neutro,0.753,negativo
JPMorgan aponta forte assimetria e divide estratégias de ações do agro sob o El Niño,negativo,0.383,negativo
Ouro fecha dia próximo à estabilidade e recua 12% no mês com Fed mais cauteloso,negativo,0.812,negativo
"Bolsas da Europa fecham na maioria em alta com tecnologia, IA e de olho em petróleo",positivo,0.575,positivo
FIIs têm pior 1º semestre desde 2022; veja maiores altas e baixas,negativo,0.680,negativo
Fundos Imobiliários,neutro,0.648,neutro
"‘Nem todo dividendo é igual’: o que FIIs, Fiagros e FI-Infra ensinam sobre risco",neutro,0.642,neutro
Criptos,neutro,0.647,neutro
"Comprar, esperar ou sair? O que especialistas dizem após o Bitcoin desabar 50%",negativo,0.763,negativo
"Renda Fixa Hoje: conheça as taxas de CDBs, LCIs e LCAs na XP com dólar em alta",neutro,0.684,negativo
XP International disponibiliza Predictions Market para plataformas XP e Rico,positivo,0.647,neutro
"""IPCA+8% não é de graça"": Por que aposta em dólar pode ser chave no 2º semestre",neutro,0.627,negativo
"Riqueza no topo cresce, e Brasil soma 9,2 mil novos milionários em um ano",positivo,0.524,neutro
Mais um título Tesouro IPCA+ se aproxima dos 8% após resultado fiscal ruim,negativo,0.786,negativo
O S&P 500 é imbatível?,positivo,0.578,positivo
"Celesc, Tim e Cemig lideram dia mais movimentado em dividendos de junho",positivo,0.629,positivo
Bitcoin é o pior investimento do semestre: 3 razões e o que esperar agora,negativo,0.808,negativo
"Governo anuncia fim do subsídio de R$0,35 por litro de diesel e avalia mais reversões",negativo,0.694,positivo
"Brasil abre 72.960 vagas formais de trabalho em maio, menor saldo para mês desde 2020",negativo,0.475,negativo
"PMI dos Estados Unidos medido pelo ISM cai a 56,7 em junho",negativo,0.794,neutro
"Índice de confiança do consumidor nos EUA sobe a 91,2 em junho",positivo,0.359,negativo
"Abertura de postos de trabalho nos EUA sobe a 7,594 mi em maio, acima do esperado",positivo,0.468,positivo
"Setor público tem déficit de R$ 56,1 bi e dívida pública sobe mais que o esperado",negativo,0.844,negativo
"Dívida pública bruta do Brasil sobe mais que o esperado em maio, a 81,1% do PIB",negativo,0.708,negativo
ONS: Consumo de energia cai até 21% na partida do Brasil na Copa,negativo,0.804,neutro
Bradesco eleva PIB de 2026 e vê inflação e Selic maiores neste ano e em 2027,neutro,0.344,negativo
Senado adia votação de pauta-bomba da saúde com impacto de R$ 28 bilhões,negativo,0.791,positivo
Raphinha treina pela 1ª vez desde a lesão e aumenta otimismo para voltar na Copa,neutro,0.486,neutro
ASSISTA AOS GOLS: Haaland marca e classifica Noruega para enfrentar o Brasil na Copa,neutro,0.429,neutro
Os bairros com maior índice de roubos e furtos de carros de São Paulo; veja lista,negativo,0.808,neutro
Canetas emagrecedoras com preços reduzidos da Eurofarma chegam às farmácias,negativo,0.581,neutro
1ª Turma do STF mantém decisão que proíbe aposentadoria compulsória como punição,negativo,0.797,neutro
Governo estuda recorrer ao STF se pauta-bomba avançar no Senado,negativo,0.749,negativo
Mundo ganhou quase 1 milhão de novos milionários em 2025: o que explica?,positivo,0.556,positivo
PF investiga esquema de anúncios falsos com imagem do governo e órgãos públicos,negativo,0.845,negativo
Onde assistir Inglaterra x Congo?,neutro,0.612,neutro
"Após terremotos, venezuelanos lideram resgates sob acusações contra militares",negativo,0.831,neutro
Inglaterra x RD Congo: modelo matemático aponta possível resultado do jogo; veja,neutro,0.638,neutro
Goldman vê ações brasileiras baratas e reitera “compra” para Brasil entre emergentes,neutro,0.507,positivo
"Minério cai, com cenário de demanda prejudicado por cotas de importação de aço da UE",negativo,0.839,negativo
Novo papel do Tesouro cruza 8% ao ano pela 1ª vez com pesquisa eleitoral no radar,negativo,0.468,positivo
"Trade eleitoral começou, mas risco maior é fiscal; veja ações para lidar com cenário",negativo,0.689,negativo
"O que muda para Petrobras, Vibra e Ultrapar com o fim do subsídio ao diesel?",neutro,0.534,neutro
Ibovespa Hoje Ao Vivo: Bolsa cai 1% e perde os 170 mil pontos,negativo,0.842,negativo
Petróleo cai mais de 1% mesmo com incertezas sobre acordo entre EUA e Irã no Catar,negativo,0.838,negativo
O caso do bilhete premiado de R$ 29 milhões que desapareceu do cofre de uma lotérica,negativo,0.824,neutro
Dólar hoje sobe com foco em dados dos EUA e à espera do presidente do Fed,neutro,0.610,neutro
"Petróleo, EUA, dividendos: os melhores (e piores) ativos do 1º semestre",positivo,0.403,positivo
"Allos, Equatorial e Alupar pagam dividendos em julho; veja agenda completa",neutro,0.626,neutro
"FII PMLL11 pagará novos dividendos em julho com yield de 0,94%; confira valor",neutro,0.643,positivo
FII BRCO11 pagará maior dividendo de sua história em julho; veja valor,neutro,0.432,positivo
"FII MXRF11 confirma novos dividendos para julho; yield mensal é de 1,02%",neutro,0.658,positivo
"FII TRXF11 divulga novos dividendos com yield de 1,63%; veja valor",neutro,0.645,positivo
"Indústria do Brasil volta a crescer em junho mas vendas e produção recuam, mostra PMI",negativo,0.748,neutro
"ADP: Setor privado dos EUA cria 98 mil vagas de trabalho em junho, abaixo do esperado",negativo,0.607,negativo
"Concessões de empréstimos no Brasil aumentam 0,2% em maio, diz BC",negativo,0.639,neutro
"Indústria no euro encerra 1º tri em alta com alívio de pressões de custos, mostra PMI",negativo,0.518,negativo
Inflação do euro cai mais do que esperado e reforça visão do BCE a favor de paciência,negativo,0.816,positivo
"Indústria da China tem melhor trimestre desde o final de 2020, mostra PMI privado",positivo,0.620,positivo
Por que o Brasil precisa descentralizar seu mercado financeiro,negativo,0.766,neutro
"Petrobras reduz preço do diesel em R$ 0,3515 por litro com fim da subvenção",negativo,0.804,neutro
"Leilão de saneamento: sem concorrentes, consórcio arremata Bloco 1 de esgoto do Ceará",neutro,0.647,neutro
2T de bancos reforçará distância entre vencedores e perdedores; veja favoritos do BBA,neutro,0.549,
Utilities lideram ganhos no semestre e sobem 10%; materiais básicos ficam para trás,positivo,0.829,
"Sem liderança no uso diário, empresas desperdiçam potencial da IA",negativo,0.826,
Por que FIIs pagam dividendos maiores na virada do semestre? Veja motivos,neutro,0.591,
Chanel reacende mercado de luxo e amplia pressão sobre rival Dior,negativo,0.371,
Chair do Fed afirma que riscos de inflação diminuíram,negativo,0.804,
Eduardo Bolsonaro diz que Lula é visto como “bêbado da rua” no exterior,negativo,0.829,
"Rússia aprovou treinamento militar secreto chinês em alto nível, segundo fontes",neutro,0.464,
"Trump faturou mais de R$ 6 bi com criptomoedas em 2025, mostra declaração",negativo,0.455,
"Tesouro IPCA+ deixa aberta janela rara, mas ""nunca foi tão fácil tomar susto""",neutro,0.599,
"Renda Fixa Hoje: conheça as taxas de CDBs, LCIs e LCAs nesta quarta (1) na XP",neutro,0.702,
"Stablecoins já respondem por 80% do volume de cripto no Brasil, mostra Receita",positivo,0.719,
